Parsing arguments
Building system
Initializing SystemBuilder
Running simualation
Graph loaded: N=65536 E=1818338 D=27 source=20734 max_deg=9767 (7797664 bytes)
=== BFS with Adaptive Work Stealing (FIFO + global remaining) ===
Graph: N=65536 E=1818338 (RMAT CSR from rmat.bin)
Graph storage: row_ptr/col_idx in DRAM (malloc)
Hot state: visited in L2SP, dist_arr in L2SP
Frontiers: dynamic L2SP+DRAM buffers with static balanced repartition (capacity=65536 vertices, l2sp_vertices=10920)
Hardware: 64 cores x 16 harts = 1024 total harts
Source: node 20734 (highest-degree vertex)
L1SP: per-core=262144 bytes, global=16777216 bytes
L1SP stack slot: per-hart=16384 bytes
Stealing: proactive low-watermark + adaptive batch/probe sizing (batch=64..256, probes=2..8)

Level 0: total_work=1, discovered=1
  Distribution: C0:1 C1:0 C2:0 C3:0 C4:0 C5:0 C6:0 C7:0 C8:0 C9:0 C10:0 C11:0 C12:0 C13:0 C14:0 C15:0 C16:0 C17:0 C18:0 C19:0 C20:0 C21:0 C22:0 C23:0 C24:0 C25:0 C26:0 C27:0 C28:0 C29:0 C30:0 C31:0 C32:0 C33:0 C34:0 C35:0 C36:0 C37:0 C38:0 C39:0 C40:0 C41:0 C42:0 C43:0 C44:0 C45:0 C46:0 C47:0 C48:0 C49:0 C50:0 C51:0 C52:0 C53:0 C54:0 C55:0 C56:0 C57:0 C58:0 C59:0 C60:0 C61:0 C62:0 C63:0 
Level 1: total_work=9767, discovered=9768
  Distribution: C0:153 C1:153 C2:153 C3:153 C4:153 C5:153 C6:153 C7:153 C8:153 C9:153 C10:153 C11:153 C12:153 C13:153 C14:153 C15:153 C16:153 C17:153 C18:153 C19:153 C20:153 C21:153 C22:153 C23:153 C24:153 C25:153 C26:153 C27:153 C28:153 C29:153 C30:153 C31:153 C32:153 C33:153 C34:153 C35:153 C36:153 C37:153 C38:153 C39:152 C40:152 C41:152 C42:152 C43:152 C44:152 C45:152 C46:152 C47:152 C48:152 C49:152 C50:152 C51:152 C52:152 C53:152 C54:152 C55:152 C56:152 C57:152 C58:152 C59:152 C60:152 C61:152 C62:152 C63:152 
Level 2: total_work=35252, discovered=45020
  Distribution: C0:551 C1:551 C2:551 C3:551 C4:551 C5:551 C6:551 C7:551 C8:551 C9:551 C10:551 C11:551 C12:551 C13:551 C14:551 C15:551 C16:551 C17:551 C18:551 C19:551 C20:551 C21:551 C22:551 C23:551 C24:551 C25:551 C26:551 C27:551 C28:551 C29:551 C30:551 C31:551 C32:551 C33:551 C34:551 C35:551 C36:551 C37:551 C38:551 C39:551 C40:551 C41:551 C42:551 C43:551 C44:551 C45:551 C46:551 C47:551 C48:551 C49:551 C50:551 C51:551 C52:550 C53:550 C54:550 C55:550 C56:550 C57:550 C58:550 C59:550 C60:550 C61:550 C62:550 C63:550 
Level 3: total_work=1528, discovered=46548
  Distribution: C0:24 C1:24 C2:24 C3:24 C4:24 C5:24 C6:24 C7:24 C8:24 C9:24 C10:24 C11:24 C12:24 C13:24 C14:24 C15:24 C16:24 C17:24 C18:24 C19:24 C20:24 C21:24 C22:24 C23:24 C24:24 C25:24 C26:24 C27:24 C28:24 C29:24 C30:24 C31:24 C32:24 C33:24 C34:24 C35:24 C36:24 C37:24 C38:24 C39:24 C40:24 C41:24 C42:24 C43:24 C44:24 C45:24 C46:24 C47:24 C48:24 C49:24 C50:24 C51:24 C52:24 C53:24 C54:24 C55:24 C56:23 C57:23 C58:23 C59:23 C60:23 C61:23 C62:23 C63:23 
Level 4: total_work=3, discovered=46551
  Distribution: C0:1 C1:1 C2:1 C3:0 C4:0 C5:0 C6:0 C7:0 C8:0 C9:0 C10:0 C11:0 C12:0 C13:0 C14:0 C15:0 C16:0 C17:0 C18:0 C19:0 C20:0 C21:0 C22:0 C23:0 C24:0 C25:0 C26:0 C27:0 C28:0 C29:0 C30:0 C31:0 C32:0 C33:0 C34:0 C35:0 C36:0 C37:0 C38:0 C39:0 C40:0 C41:0 C42:0 C43:0 C44:0 C45:0 C46:0 C47:0 C48:0 C49:0 C50:0 C51:0 C52:0 C53:0 C54:0 C55:0 C56:0 C57:0 C58:0 C59:0 C60:0 C61:0 C62:0 C63:0 

=== BFS Complete ===
Levels traversed: 5
Nodes discovered: 46551 / 65536
dist[source=20734] = 0 (expected 0)

Per-hart statistics:
Hart | Processed | Steal Attempts | Steals OK
-----|-----------|----------------|----------
   0 |        64 |              0 |         0
   1 |        26 |              0 |         0
   2 |         0 |              0 |         0
   3 |         1 |              1 |         0
   4 |       128 |              0 |         0
   5 |        64 |              0 |         0
   6 |       128 |              0 |         0
   7 |        64 |              0 |         0
   8 |         0 |              0 |         0
   9 |        64 |              0 |         0
  10 |        64 |              0 |         0
  11 |        64 |              0 |         0
  12 |         0 |              0 |         0
  13 |        63 |              0 |         0
  14 |         0 |              0 |         0
  15 |         0 |              0 |         0
  16 |        64 |              0 |         0
  17 |         0 |              0 |         0
  18 |       128 |              0 |         0
  19 |        65 |              0 |         0
  20 |        25 |              0 |         0
  21 |         0 |              0 |         0
  22 |         0 |              0 |         0
  23 |        64 |              0 |         0
  24 |        64 |              0 |         0
  25 |        24 |              0 |         0
  26 |        64 |              0 |         0
  27 |        64 |              0 |         0
  28 |         0 |              0 |         0
  29 |        39 |              0 |         0
  30 |        64 |              0 |         0
  31 |        64 |              0 |         0
  32 |        25 |              0 |         0
  33 |        64 |              0 |         0
  34 |       128 |              0 |         0
  35 |         0 |              2 |         0
  36 |        24 |              0 |         0
  37 |        64 |              0 |         0
  38 |        65 |              0 |         0
  39 |        64 |              0 |         0
  40 |         0 |              0 |         0
  41 |         0 |              0 |         0
  42 |         0 |              0 |         0
  43 |        64 |              0 |         0
  44 |        39 |              0 |         0
  45 |        64 |              0 |         0
  46 |        64 |              0 |         0
  47 |        64 |              0 |         0
  48 |        64 |              0 |         0
  49 |        64 |              0 |         0
  50 |        64 |              0 |         0
  51 |         0 |              0 |         0
  52 |        64 |              0 |         0
  53 |         0 |              0 |         0
  54 |        64 |              0 |         0
  55 |        24 |              0 |         0
  56 |       128 |              0 |         0
  57 |         0 |              0 |         0
  58 |        39 |              0 |         0
  59 |        89 |              0 |         0
  60 |        64 |              0 |         0
  61 |        64 |              0 |         0
  62 |         0 |              2 |         0
  63 |         0 |              0 |         0
  64 |        64 |              0 |         0
  65 |        64 |              0 |         0
  66 |         0 |              0 |         0
  67 |        64 |              0 |         0
  68 |        64 |              0 |         0
  69 |         0 |              0 |         0
  70 |       128 |              0 |         0
  71 |        64 |              0 |         0
  72 |        64 |              0 |         0
  73 |        39 |              0 |         0
  74 |        64 |              0 |         0
  75 |         0 |              0 |         0
  76 |         0 |              1 |         0
  77 |         0 |              0 |         0
  78 |        24 |              0 |         0
  79 |        89 |              0 |         0
  80 |         0 |              0 |         0
  81 |        63 |              0 |         0
  82 |        64 |              0 |         0
  83 |         0 |              0 |         0
  84 |        64 |              0 |         0
  85 |        64 |              0 |         0
  86 |        25 |              0 |         0
  87 |        64 |              0 |         0
  88 |        64 |              0 |         0
  89 |         0 |              0 |         0
  90 |        64 |              0 |         0
  91 |         0 |              0 |         0
  92 |        64 |              0 |         0
  93 |        64 |              0 |         0
  94 |        64 |              0 |         0
  95 |        64 |              0 |         0
  96 |        64 |              1 |         1
  97 |         0 |              0 |         0
  98 |        64 |              0 |         0
  99 |        88 |              0 |         0
 100 |        39 |              0 |         0
 101 |         0 |              0 |         0
 102 |        64 |              1 |         0
 103 |        25 |              0 |         0
 104 |         0 |              0 |         0
 105 |       128 |              0 |         0
 106 |        64 |              0 |         0
 107 |        64 |              0 |         0
 108 |         0 |              0 |         0
 109 |        64 |              0 |         0
 110 |         0 |              0 |         0
 111 |       128 |              0 |         0
 112 |         0 |              0 |         0
 113 |        64 |              0 |         0
 114 |        64 |              0 |         0
 115 |        64 |              0 |         0
 116 |         0 |              0 |         0
 117 |        89 |              0 |         0
 118 |        64 |              0 |         0
 119 |        64 |              0 |         0
 120 |        88 |              0 |         0
 121 |        64 |              0 |         0
 122 |        64 |              0 |         0
 123 |         0 |              0 |         0
 124 |         0 |              0 |         0
 125 |        64 |              1 |         0
 126 |        39 |              0 |         0
 127 |         0 |              0 |         0
 128 |         0 |              0 |         0
 129 |         0 |              0 |         0
 130 |       103 |              0 |         0
 131 |         0 |              0 |         0
 132 |         0 |              0 |         0
 133 |        24 |              0 |         0
 134 |        64 |              0 |         0
 135 |        64 |              0 |         0
 136 |       128 |              0 |         0
 137 |         0 |              1 |         0
 138 |         0 |              0 |         0
 139 |         0 |              0 |         0
 140 |        64 |              0 |         0
 141 |        64 |              0 |         0
 142 |        64 |              0 |         0
 143 |        89 |              0 |         0
 144 |        64 |              0 |         0
 145 |        63 |              0 |         0
 146 |        89 |              0 |         0
 147 |        64 |              0 |         0
 148 |        64 |              0 |         0
 149 |        64 |              0 |         0
 150 |        64 |              0 |         0
 151 |         0 |              0 |         0
 152 |        64 |              0 |         0
 153 |        64 |              0 |         0
 154 |        64 |              0 |         0
 155 |         0 |              1 |         0
 156 |         0 |              0 |         0
 157 |        64 |              0 |         0
 158 |         0 |              0 |         0
 159 |         0 |              0 |         0
 160 |         0 |              0 |         0
 161 |        64 |              0 |         0
 162 |         0 |              0 |         0
 163 |       128 |              0 |         0
 164 |        64 |              0 |         0
 165 |         0 |              0 |         0
 166 |        64 |              0 |         0
 167 |         0 |              0 |         0
 168 |        64 |              0 |         0
 169 |        64 |              0 |         0
 170 |        64 |              0 |         0
 171 |       113 |              0 |         0
 172 |        64 |              0 |         0
 173 |         0 |              0 |         0
 174 |         0 |              1 |         0
 175 |         0 |              0 |         0
 176 |         0 |              0 |         0
 177 |        64 |              0 |         0
 178 |        39 |              0 |         0
 179 |         0 |              0 |         0
 180 |        64 |              0 |         0
 181 |       152 |              0 |         0
 182 |         0 |              0 |         0
 183 |         0 |              0 |         0
 184 |        64 |              0 |         0
 185 |        89 |              0 |         0
 186 |         0 |              0 |         0
 187 |        64 |              0 |         0
 188 |        64 |              0 |         0
 189 |        64 |              0 |         0
 190 |         0 |              0 |         0
 191 |        64 |              0 |         0
 192 |        64 |              0 |         0
 193 |        64 |              0 |         0
 194 |         0 |              0 |         0
 195 |         0 |              0 |         0
 196 |         0 |              0 |         0
 197 |       128 |              0 |         0
 198 |        89 |              0 |         0
 199 |        64 |              0 |         0
 200 |        24 |              0 |         0
 201 |        64 |              0 |         0
 202 |         0 |              0 |         0
 203 |        39 |              0 |         0
 204 |         0 |              0 |         0
 205 |        64 |              0 |         0
 206 |        64 |              0 |         0
 207 |        64 |              0 |         0
 208 |         0 |              0 |         0
 209 |        64 |              0 |         0
 210 |       128 |              0 |         0
 211 |        24 |              0 |         0
 212 |        64 |              0 |         0
 213 |         0 |              0 |         0
 214 |       128 |              0 |         0
 215 |        64 |              0 |         0
 216 |         0 |              0 |         0
 217 |         0 |              0 |         0
 218 |        64 |              0 |         0
 219 |         0 |              0 |         0
 220 |        64 |              0 |         0
 221 |        64 |              0 |         0
 222 |         0 |              0 |         0
 223 |        64 |              0 |         0
 224 |        64 |              0 |         0
 225 |        64 |              0 |         0
 226 |         0 |              0 |         0
 227 |        25 |              0 |         0
 228 |         0 |              1 |         0
 229 |        64 |              0 |         0
 230 |        64 |              0 |         0
 231 |        88 |              0 |         0
 232 |         0 |              0 |         0
 233 |         0 |              0 |         0
 234 |         0 |              0 |         0
 235 |        64 |              0 |         0
 236 |         0 |              0 |         0
 237 |        39 |              0 |         0
 238 |       128 |              0 |         0
 239 |       128 |              0 |         0
 240 |         0 |              0 |         0
 241 |        64 |              0 |         0
 242 |        25 |              0 |         0
 243 |        64 |              0 |         0
 244 |        39 |              1 |         0
 245 |        64 |              0 |         0
 246 |        88 |              0 |         0
 247 |         0 |              0 |         0
 248 |        64 |              0 |         0
 249 |         0 |              0 |         0
 250 |        39 |              1 |         1
 251 |         0 |              0 |         0
 252 |        64 |              0 |         0
 253 |       128 |              0 |         0
 254 |        64 |              0 |         0
 255 |         0 |              0 |         0
 256 |         0 |              0 |         0
 257 |         0 |              0 |         0
 258 |        89 |              0 |         0
 259 |        64 |              0 |         0
 260 |        64 |              0 |         0
 261 |         0 |              0 |         0
 262 |        64 |              0 |         0
 263 |        64 |              0 |         0
 264 |         0 |              0 |         0
 265 |        64 |              0 |         0
 266 |        64 |              2 |         1
 267 |        88 |              0 |         0
 268 |         0 |              0 |         0
 269 |        64 |              0 |         0
 270 |       128 |              0 |         0
 271 |        39 |              0 |         0
 272 |        64 |              0 |         0
 273 |        64 |              0 |         0
 274 |        64 |              0 |         0
 275 |       128 |              0 |         0
 276 |         0 |              0 |         0
 277 |       128 |              0 |         0
 278 |         0 |              0 |         0
 279 |         0 |              0 |         0
 280 |         0 |              0 |         0
 281 |        25 |              0 |         0
 282 |        88 |              0 |         0
 283 |         0 |              0 |         0
 284 |        64 |              0 |         0
