ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
system_pxn0_pod0_core0_core,load_l1sp,hart_0,Accumulator,62089371000,0,445799,445799,445799,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_0,Accumulator,62089371000,0,249739,249739,249739,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_0,Accumulator,62089371000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_0,Accumulator,62089371000,0,8255,8255,8255,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_0,Accumulator,62089371000,0,1363,1363,1363,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_0,Accumulator,62089371000,0,132,132,132,1,1
system_pxn0_pod0_core0_core,load_dram,hart_0,Accumulator,62089371000,0,40687,40687,40687,1,1
system_pxn0_pod0_core0_core,store_dram,hart_0,Accumulator,62089371000,0,3771,3771,3771,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_0,Accumulator,62089371000,0,27831,27831,27831,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_0,Accumulator,62089371000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_0,Accumulator,62089371000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_0,Accumulator,62089371000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l1sp,hart_0,Accumulator,62089371000,0,403753,403753,403753,1,1
system_pxn0_pod0_core0_core,useful_store_l1sp,hart_0,Accumulator,62089371000,0,216471,216471,216471,1,1
system_pxn0_pod0_core0_core,useful_atomic_l1sp,hart_0,Accumulator,62089371000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l2sp,hart_0,Accumulator,62089371000,0,6861,6861,6861,1,1
system_pxn0_pod0_core0_core,useful_store_l2sp,hart_0,Accumulator,62089371000,0,165,165,165,1,1
system_pxn0_pod0_core0_core,useful_atomic_l2sp,hart_0,Accumulator,62089371000,0,109,109,109,1,1
system_pxn0_pod0_core0_core,useful_load_dram,hart_0,Accumulator,62089371000,0,30359,30359,30359,1,1
system_pxn0_pod0_core0_core,useful_store_dram,hart_0,Accumulator,62089371000,0,383,383,383,1,1
system_pxn0_pod0_core0_core,useful_atomic_dram,hart_0,Accumulator,62089371000,0,27687,27687,27687,1,1
system_pxn0_pod0_core0_core,load_l1sp,hart_1,Accumulator,62089371000,0,455456,455456,455456,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_1,Accumulator,62089371000,0,252485,252485,252485,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_1,Accumulator,62089371000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_1,Accumulator,62089371000,0,10346,10346,10346,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_1,Accumulator,62089371000,0,216,216,216,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_1,Accumulator,62089371000,0,127,127,127,1,1
system_pxn0_pod0_core0_core,load_dram,hart_1,Accumulator,62089371000,0,32254,32254,32254,1,1
system_pxn0_pod0_core0_core,store_dram,hart_1,Accumulator,62089371000,0,427,427,427,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_1,Accumulator,62089371000,0,29624,29624,29624,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_1,Accumulator,62089371000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_1,Accumulator,62089371000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_1,Accumulator,62089371000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l1sp,hart_1,Accumulator,62089371000,0,429268,429268,429268,1,1
system_pxn0_pod0_core0_core,useful_store_l1sp,hart_1,Accumulator,62089371000,0,230226,230226,230226,1,1
system_pxn0_pod0_core0_core,useful_atomic_l1sp,hart_1,Accumulator,62089371000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l2sp,hart_1,Accumulator,62089371000,0,7104,7104,7104,1,1
