ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
system_pxn0_pod0_core0_core,load_l1sp,hart_0,Accumulator,12418548000,0,466849,466849,466849,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_0,Accumulator,12418548000,0,267839,267839,267839,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_0,Accumulator,12418548000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_0,Accumulator,12418548000,0,7057,7057,7057,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_0,Accumulator,12418548000,0,899,899,899,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_0,Accumulator,12418548000,0,148,148,148,1,1
system_pxn0_pod0_core0_core,load_dram,hart_0,Accumulator,12418548000,0,47266,47266,47266,1,1
system_pxn0_pod0_core0_core,store_dram,hart_0,Accumulator,12418548000,0,5139,5139,5139,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_0,Accumulator,12418548000,0,28563,28563,28563,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_0,Accumulator,12418548000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_0,Accumulator,12418548000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_0,Accumulator,12418548000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l1sp,hart_0,Accumulator,12418548000,0,414823,414823,414823,1,1
system_pxn0_pod0_core0_core,useful_store_l1sp,hart_0,Accumulator,12418548000,0,222432,222432,222432,1,1
system_pxn0_pod0_core0_core,useful_atomic_l1sp,hart_0,Accumulator,12418548000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l2sp,hart_0,Accumulator,12418548000,0,5328,5328,5328,1,1
system_pxn0_pod0_core0_core,useful_store_l2sp,hart_0,Accumulator,12418548000,0,496,496,496,1,1
system_pxn0_pod0_core0_core,useful_atomic_l2sp,hart_0,Accumulator,12418548000,0,121,121,121,1,1
system_pxn0_pod0_core0_core,useful_load_dram,hart_0,Accumulator,12418548000,0,30937,30937,30937,1,1
system_pxn0_pod0_core0_core,useful_store_dram,hart_0,Accumulator,12418548000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_atomic_dram,hart_0,Accumulator,12418548000,0,28425,28425,28425,1,1
system_pxn0_pod0_core0_core,pgas_translations,,Accumulator,12418548000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,l2sp_interarrival,,Accumulator,12418548000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,busy_cycles,,Accumulator,12418548000,0,2108037,2108037,2108037,1,1
system_pxn0_pod0_core0_core,stall_cycles,,Accumulator,12418548000,0,5050326,27437030690,1330,1,83951
system_pxn0_pod0_core0_core,icache_miss,,Accumulator,12418548000,0,72026,72026,72026,1,1
