ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
system_pxn0_pod0_core0_core,load_l1sp,hart_0,Accumulator,30629352000,0,430342,430342,430342,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_0,Accumulator,30629352000,0,240217,240217,240217,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_0,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_0,Accumulator,30629352000,0,8022,8022,8022,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_0,Accumulator,30629352000,0,642,642,642,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_0,Accumulator,30629352000,0,154,154,154,1,1
system_pxn0_pod0_core0_core,load_dram,hart_0,Accumulator,30629352000,0,33859,33859,33859,1,1
system_pxn0_pod0_core0_core,store_dram,hart_0,Accumulator,30629352000,0,1637,1637,1637,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_0,Accumulator,30629352000,0,26350,26350,26350,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_0,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_0,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_0,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l1sp,hart_0,Accumulator,30629352000,0,390349,390349,390349,1,1
system_pxn0_pod0_core0_core,useful_store_l1sp,hart_0,Accumulator,30629352000,0,209219,209219,209219,1,1
system_pxn0_pod0_core0_core,useful_atomic_l1sp,hart_0,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l2sp,hart_0,Accumulator,30629352000,0,5686,5686,5686,1,1
system_pxn0_pod0_core0_core,useful_store_l2sp,hart_0,Accumulator,30629352000,0,538,538,538,1,1
system_pxn0_pod0_core0_core,useful_atomic_l2sp,hart_0,Accumulator,30629352000,0,130,130,130,1,1
system_pxn0_pod0_core0_core,useful_load_dram,hart_0,Accumulator,30629352000,0,28921,28921,28921,1,1
system_pxn0_pod0_core0_core,useful_store_dram,hart_0,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_atomic_dram,hart_0,Accumulator,30629352000,0,26281,26281,26281,1,1
system_pxn0_pod0_core0_core,load_l1sp,hart_1,Accumulator,30629352000,0,432244,432244,432244,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_1,Accumulator,30629352000,0,240906,240906,240906,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_1,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_1,Accumulator,30629352000,0,10002,10002,10002,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_1,Accumulator,30629352000,0,591,591,591,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_1,Accumulator,30629352000,0,150,150,150,1,1
system_pxn0_pod0_core0_core,load_dram,hart_1,Accumulator,30629352000,0,29245,29245,29245,1,1
system_pxn0_pod0_core0_core,store_dram,hart_1,Accumulator,30629352000,0,19,19,19,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_1,Accumulator,30629352000,0,26486,26486,26486,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_1,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_1,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_1,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l1sp,hart_1,Accumulator,30629352000,0,394539,394539,394539,1,1
system_pxn0_pod0_core0_core,useful_store_l1sp,hart_1,Accumulator,30629352000,0,211489,211489,211489,1,1
system_pxn0_pod0_core0_core,useful_atomic_l1sp,hart_1,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l2sp,hart_1,Accumulator,30629352000,0,5869,5869,5869,1,1
system_pxn0_pod0_core0_core,useful_store_l2sp,hart_1,Accumulator,30629352000,0,576,576,576,1,1
system_pxn0_pod0_core0_core,useful_atomic_l2sp,hart_1,Accumulator,30629352000,0,135,135,135,1,1
system_pxn0_pod0_core0_core,useful_load_dram,hart_1,Accumulator,30629352000,0,29162,29162,29162,1,1
system_pxn0_pod0_core0_core,useful_store_dram,hart_1,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_atomic_dram,hart_1,Accumulator,30629352000,0,26474,26474,26474,1,1
system_pxn0_pod0_core0_core,load_l1sp,hart_2,Accumulator,30629352000,0,429035,429035,429035,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_2,Accumulator,30629352000,0,239258,239258,239258,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_2,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_2,Accumulator,30629352000,0,9577,9577,9577,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_2,Accumulator,30629352000,0,479,479,479,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_2,Accumulator,30629352000,0,143,143,143,1,1
system_pxn0_pod0_core0_core,load_dram,hart_2,Accumulator,30629352000,0,29135,29135,29135,1,1
system_pxn0_pod0_core0_core,store_dram,hart_2,Accumulator,30629352000,0,3,3,3,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_2,Accumulator,30629352000,0,26529,26529,26529,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_2,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_2,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_2,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l1sp,hart_2,Accumulator,30629352000,0,390563,390563,390563,1,1
system_pxn0_pod0_core0_core,useful_store_l1sp,hart_2,Accumulator,30629352000,0,209314,209314,209314,1,1
system_pxn0_pod0_core0_core,useful_atomic_l1sp,hart_2,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l2sp,hart_2,Accumulator,30629352000,0,5397,5397,5397,1,1
system_pxn0_pod0_core0_core,useful_store_l2sp,hart_2,Accumulator,30629352000,0,464,464,464,1,1
system_pxn0_pod0_core0_core,useful_atomic_l2sp,hart_2,Accumulator,30629352000,0,124,124,124,1,1
system_pxn0_pod0_core0_core,useful_load_dram,hart_2,Accumulator,30629352000,0,29085,29085,29085,1,1
system_pxn0_pod0_core0_core,useful_store_dram,hart_2,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_atomic_dram,hart_2,Accumulator,30629352000,0,26509,26509,26509,1,1
system_pxn0_pod0_core0_core,load_l1sp,hart_3,Accumulator,30629352000,0,430328,430328,430328,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_3,Accumulator,30629352000,0,240059,240059,240059,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_3,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_3,Accumulator,30629352000,0,9688,9688,9688,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_3,Accumulator,30629352000,0,732,732,732,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_3,Accumulator,30629352000,0,136,136,136,1,1
system_pxn0_pod0_core0_core,load_dram,hart_3,Accumulator,30629352000,0,28837,28837,28837,1,1
system_pxn0_pod0_core0_core,store_dram,hart_3,Accumulator,30629352000,0,3,3,3,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_3,Accumulator,30629352000,0,26424,26424,26424,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_3,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_3,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_3,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l1sp,hart_3,Accumulator,30629352000,0,391598,391598,391598,1,1
system_pxn0_pod0_core0_core,useful_store_l1sp,hart_3,Accumulator,30629352000,0,209932,209932,209932,1,1
system_pxn0_pod0_core0_core,useful_atomic_l1sp,hart_3,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l2sp,hart_3,Accumulator,30629352000,0,5490,5490,5490,1,1
system_pxn0_pod0_core0_core,useful_store_l2sp,hart_3,Accumulator,30629352000,0,717,717,717,1,1
system_pxn0_pod0_core0_core,useful_atomic_l2sp,hart_3,Accumulator,30629352000,0,119,119,119,1,1
system_pxn0_pod0_core0_core,useful_load_dram,hart_3,Accumulator,30629352000,0,28787,28787,28787,1,1
system_pxn0_pod0_core0_core,useful_store_dram,hart_3,Accumulator,30629352000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_atomic_dram,hart_3,Accumulator,30629352000,0,26403,26403,26403,1,1
