ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
system_pxn0_pod0_core0_core,load_l1sp,hart_0,Accumulator,20490928000,0,292617,292617,292617,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_0,Accumulator,20490928000,0,162385,162385,162385,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_0,Accumulator,20490928000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_0,Accumulator,20490928000,0,7821,7821,7821,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_0,Accumulator,20490928000,0,1156,1156,1156,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_0,Accumulator,20490928000,0,207,207,207,1,1
system_pxn0_pod0_core0_core,load_dram,hart_0,Accumulator,20490928000,0,25702,25702,25702,1,1
system_pxn0_pod0_core0_core,store_dram,hart_0,Accumulator,20490928000,0,2106,2106,2106,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_0,Accumulator,20490928000,0,16339,16339,16339,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_0,Accumulator,20490928000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_0,Accumulator,20490928000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_0,Accumulator,20490928000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l1sp,hart_0,Accumulator,20490928000,0,276881,276881,276881,1,1
system_pxn0_pod0_core0_core,useful_store_l1sp,hart_0,Accumulator,20490928000,0,148117,148117,148117,1,1
system_pxn0_pod0_core0_core,useful_atomic_l1sp,hart_0,Accumulator,20490928000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l2sp,hart_0,Accumulator,20490928000,0,7393,7393,7393,1,1
system_pxn0_pod0_core0_core,useful_store_l2sp,hart_0,Accumulator,20490928000,0,919,919,919,1,1
system_pxn0_pod0_core0_core,useful_atomic_l2sp,hart_0,Accumulator,20490928000,0,172,172,172,1,1
system_pxn0_pod0_core0_core,useful_load_dram,hart_0,Accumulator,20490928000,0,19312,19312,19312,1,1
system_pxn0_pod0_core0_core,useful_store_dram,hart_0,Accumulator,20490928000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_atomic_dram,hart_0,Accumulator,20490928000,0,16256,16256,16256,1,1
system_pxn0_pod0_core0_core,load_l1sp,hart_1,Accumulator,20490928000,0,301679,301679,301679,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_1,Accumulator,20490928000,0,166760,166760,166760,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_1,Accumulator,20490928000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_1,Accumulator,20490928000,0,10896,10896,10896,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_1,Accumulator,20490928000,0,1251,1251,1251,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_1,Accumulator,20490928000,0,209,209,209,1,1
system_pxn0_pod0_core0_core,load_dram,hart_1,Accumulator,20490928000,0,19774,19774,19774,1,1
system_pxn0_pod0_core0_core,store_dram,hart_1,Accumulator,20490928000,0,1,1,1,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_1,Accumulator,20490928000,0,16658,16658,16658,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_1,Accumulator,20490928000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_1,Accumulator,20490928000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_1,Accumulator,20490928000,0,0,0,0,0,0
