ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
system_pxn0_pod0_core0_core,load_l1sp,hart_0,Accumulator,5468748000,0,312181,312181,312181,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_0,Accumulator,5468748000,0,182077,182077,182077,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_0,Accumulator,5468748000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_0,Accumulator,5468748000,0,7998,7998,7998,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_0,Accumulator,5468748000,0,1342,1342,1342,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_0,Accumulator,5468748000,0,212,212,212,1,1
system_pxn0_pod0_core0_core,load_dram,hart_0,Accumulator,5468748000,0,35639,35639,35639,1,1
system_pxn0_pod0_core0_core,store_dram,hart_0,Accumulator,5468748000,0,5216,5216,5216,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_0,Accumulator,5468748000,0,16273,16273,16273,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_0,Accumulator,5468748000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_0,Accumulator,5468748000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_0,Accumulator,5468748000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l1sp,hart_0,Accumulator,5468748000,0,275104,275104,275104,1,1
system_pxn0_pod0_core0_core,useful_store_l1sp,hart_0,Accumulator,5468748000,0,147165,147165,147165,1,1
system_pxn0_pod0_core0_core,useful_atomic_l1sp,hart_0,Accumulator,5468748000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l2sp,hart_0,Accumulator,5468748000,0,7371,7371,7371,1,1
system_pxn0_pod0_core0_core,useful_store_l2sp,hart_0,Accumulator,5468748000,0,925,925,925,1,1
system_pxn0_pod0_core0_core,useful_atomic_l2sp,hart_0,Accumulator,5468748000,0,173,173,173,1,1
system_pxn0_pod0_core0_core,useful_load_dram,hart_0,Accumulator,5468748000,0,19168,19168,19168,1,1
system_pxn0_pod0_core0_core,useful_store_dram,hart_0,Accumulator,5468748000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_atomic_dram,hart_0,Accumulator,5468748000,0,16128,16128,16128,1,1
system_pxn0_pod0_core0_core,pgas_translations,,Accumulator,5468748000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,l2sp_interarrival,,Accumulator,5468748000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,busy_cycles,,Accumulator,5468748000,0,1408704,1408704,1408704,1,1
system_pxn0_pod0_core0_core,stall_cycles,,Accumulator,5468748000,0,344449,8313843441,201,1,83951
system_pxn0_pod0_core0_core,icache_miss,,Accumulator,5468748000,0,74823,74823,74823,1,1
system_pxn0_pod0_core0_core,memory_wait_cycles,,Accumulator,5468748000,0,3546356,3546356,3546356,1,1
system_pxn0_pod0_core0_core,active_idle_cycles,,Accumulator,5468748000,0,201,201,201,1,1
system_pxn0_pod0_core0_core,load_latency_total,,Accumulator,5468748000,0,3545854,123133598,561034,2,621
system_pxn0_pod0_core0_core,load_request_count,,Accumulator,5468748000,0,561034,561034,561034,1,1
system_pxn0_pod0_core0_core,dram_load_latency_total,,Accumulator,5468748000,0,1310368,52171800,35639,34,224
system_pxn0_pod0_core0_core,dram_load_request_count,,Accumulator,5468748000,0,35639,35639,35639,1,1
system_pxn0_pod0_core0_core,useful_busy_cycles,,Accumulator,5468748000,0,1133422,1133422,1133422,1,1
system_pxn0_pod0_core0_core,useful_memory_wait_cycles,,Accumulator,5468748000,0,2622058,2622058,2622058,1,1
system_pxn0_pod0_core0_core,useful_active_idle_cycles,,Accumulator,5468748000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_latency_total,,Accumulator,5468748000,0,2622058,94391458,466034,2,224
system_pxn0_pod0_core0_core,useful_load_request_count,,Accumulator,5468748000,0,466034,466034,466034,1,1
system_pxn0_pod0_core0_core,useful_dram_load_latency_total,,Accumulator,5468748000,0,747258,32826814,19168,34,224
system_pxn0_pod0_core0_core,useful_dram_load_request_count,,Accumulator,5468748000,0,19168,19168,19168,1,1
system_pxn0_pod0_core0_core,outstanding_requests_sum,,Accumulator,5468748000,0,4130184,5126890,4107390,1,65
system_pxn0_pod0_core0_core,useful_outstanding_requests_sum,,Accumulator,5468748000,0,3088092,3088092,3088092,1,1
system_pxn0_pod0_core0_core,dram_outstanding_requests_sum,,Accumulator,5468748000,0,1346007,1346007,1346007,1,1
