ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
system_pxn0_pod0_core0_core,load_l1sp,hart_0,Accumulator,157888835000,0,462638,462638,462638,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_0,Accumulator,157888835000,0,263919,263919,263919,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_0,Accumulator,157888835000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_0,Accumulator,157888835000,0,8168,8168,8168,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_0,Accumulator,157888835000,0,2365,2365,2365,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_0,Accumulator,157888835000,0,130,130,130,1,1
system_pxn0_pod0_core0_core,load_dram,hart_0,Accumulator,157888835000,0,46260,46260,46260,1,1
system_pxn0_pod0_core0_core,store_dram,hart_0,Accumulator,157888835000,0,5606,5606,5606,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_0,Accumulator,157888835000,0,27910,27910,27910,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_0,Accumulator,157888835000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_0,Accumulator,157888835000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_0,Accumulator,157888835000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l1sp,hart_0,Accumulator,157888835000,0,397102,397102,397102,1,1
system_pxn0_pod0_core0_core,useful_store_l1sp,hart_0,Accumulator,157888835000,0,212883,212883,212883,1,1
system_pxn0_pod0_core0_core,useful_atomic_l1sp,hart_0,Accumulator,157888835000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l2sp,hart_0,Accumulator,157888835000,0,6402,6402,6402,1,1
system_pxn0_pod0_core0_core,useful_store_l2sp,hart_0,Accumulator,157888835000,0,35,35,35,1,1
system_pxn0_pod0_core0_core,useful_atomic_l2sp,hart_0,Accumulator,157888835000,0,100,100,100,1,1
system_pxn0_pod0_core0_core,useful_load_dram,hart_0,Accumulator,157888835000,0,30124,30124,30124,1,1
system_pxn0_pod0_core0_core,useful_store_dram,hart_0,Accumulator,157888835000,0,385,385,385,1,1
system_pxn0_pod0_core0_core,useful_atomic_dram,hart_0,Accumulator,157888835000,0,27548,27548,27548,1,1
system_pxn0_pod0_core0_core,load_l1sp,hart_1,Accumulator,157888835000,0,830865,830865,830865,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_1,Accumulator,157888835000,0,459677,459677,459677,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_1,Accumulator,157888835000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_1,Accumulator,157888835000,0,13178,13178,13178,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_1,Accumulator,157888835000,0,137,137,137,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_1,Accumulator,157888835000,0,122,122,122,1,1
system_pxn0_pod0_core0_core,load_dram,hart_1,Accumulator,157888835000,0,59944,59944,59944,1,1
system_pxn0_pod0_core0_core,store_dram,hart_1,Accumulator,157888835000,0,697,697,697,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_1,Accumulator,157888835000,0,57651,57651,57651,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_1,Accumulator,157888835000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_1,Accumulator,157888835000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_1,Accumulator,157888835000,0,0,0,0,0,0
