ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
system_pxn0_pod0_core0_core,load_l1sp,hart_0,Accumulator,57613899000,0,500515,500515,500515,1,1
system_pxn0_pod0_core0_core,store_l1sp,hart_0,Accumulator,57613899000,0,293442,293442,293442,1,1
system_pxn0_pod0_core0_core,atomic_l1sp,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,load_l2sp,hart_0,Accumulator,57613899000,0,10209,10209,10209,1,1
system_pxn0_pod0_core0_core,store_l2sp,hart_0,Accumulator,57613899000,0,928,928,928,1,1
system_pxn0_pod0_core0_core,atomic_l2sp,hart_0,Accumulator,57613899000,0,153,153,153,1,1
system_pxn0_pod0_core0_core,load_dram,hart_0,Accumulator,57613899000,0,46530,46530,46530,1,1
system_pxn0_pod0_core0_core,store_dram,hart_0,Accumulator,57613899000,0,5140,5140,5140,1,1
system_pxn0_pod0_core0_core,atomic_dram,hart_0,Accumulator,57613899000,0,27802,27802,27802,1,1
system_pxn0_pod0_core0_core,load_remote_pxn,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,store_remote_pxn,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,atomic_remote_pxn,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l1sp,hart_0,Accumulator,57613899000,0,406036,406036,406036,1,1
system_pxn0_pod0_core0_core,useful_store_l1sp,hart_0,Accumulator,57613899000,0,217710,217710,217710,1,1
system_pxn0_pod0_core0_core,useful_atomic_l1sp,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core0_core,useful_load_l2sp,hart_0,Accumulator,57613899000,0,5457,5457,5457,1,1
system_pxn0_pod0_core0_core,useful_store_l2sp,hart_0,Accumulator,57613899000,0,525,525,525,1,1
system_pxn0_pod0_core0_core,useful_atomic_l2sp,hart_0,Accumulator,57613899000,0,124,124,124,1,1
system_pxn0_pod0_core0_core,useful_load_dram,hart_0,Accumulator,57613899000,0,30201,30201,30201,1,1
